cur_epoch,network_rewards_each_epoch,network_error_each_epoch
1,39.046875,0.4426551637323141
1,38.2080078125,0.42904414542455294
2,43.6962890625,0.44069977892603035
3,47.080078125,0.49841767140114324
1,38.373046875,0.4298933013163302
2,46.919921875,0.49663693809971
1,37.5947265625,0.42696314461408374
1,38.3388671875,0.44181161070886754
3,50.2890625,0.5622375193763108
4,52.8388671875,0.5408238155283226
5,56.24609375,0.481228344293817
6,63.953125,0.41504681748269634
7,64.8642578125,0.4148197166661595
1,49.05419921875,0.24367117558158324
2,55.1474609375,0.24159030917009636
