cur_batch,avg_ep_rewards,avg_ep_error,avg_actor_loss
0,72.74169921875,0.04260253729480765,8.075744e-06
1,72.4150390625,0.04285334606527408,3.0502747e-08
2,72.34375,0.042818196092253874,-1.6465307e-05
3,72.19970703125,0.04288965538287699,-9.6968415e-06
4,72.5068359375,0.04279394511577567,-7.70793e-06
5,72.21728515625,0.04291560322419896,-3.54659e-05
6,72.23583984375,0.042840969958823805,-5.339116e-06
7,72.33349609375,0.04288872297037192,-1.7393082e-06
8,72.48876953125,0.042753021000133146,-3.920138e-06
9,72.71923828125,0.04257004724510545,-4.5004917e-06
10,72.76708984375,0.042631414227920716,4.9754976e-07
11,72.4619140625,0.042756721783558674,-7.0480105e-06
12,72.396484375,0.042732673869517526,-1.4265626e-05
13,72.79052734375,0.04261496601703875,-8.466472e-06
14,72.5771484375,0.04257221557126962,-7.565587e-06
15,72.65234375,0.04268597163028613,-5.826935e-06
16,72.8623046875,0.042613880444214755,-1.2005536e-05
17,72.49267578125,0.04273988108937901,-8.527599e-06
18,72.44970703125,0.042715067070648705,-2.0964208e-05
19,73.06396484375,0.04249382763282782,-5.90913e-06
20,72.69482421875,0.04257901212398921,-1.7986185e-06
21,72.50244140625,0.04270556907667031,-1.2421713e-05
22,72.6904296875,0.04270269672174955,-4.4054686e-06
23,72.74658203125,0.042629559192716104,-7.1646573e-06
24,72.28125,0.04285866819057562,-1.325903e-05
25,72.44921875,0.042854014127990225,-1.5294598e-05
26,72.41748046875,0.04283671264932372,-1.20344575e-05
27,72.46240234375,0.042822993464804046,-9.886727e-06
28,72.17138671875,0.04289594727478897,-1.2533486e-05
29,72.29150390625,0.04272996137564307,-1.43386405e-05
30,72.79052734375,0.042643740918186526,-1.4479681e-06
31,72.41845703125,0.042714235550171016,2.2168012e-06
32,72.58154296875,0.04273539599924966,-4.647449e-06
33,72.3388671875,0.04280074229169434,-1.1420369e-05
34,72.5400390625,0.04276732126319673,-5.1483885e-06
35,72.08935546875,0.04293178919545382,-6.837934e-06
36,71.9931640625,0.04305997465271459,-2.167107e-05
37,72.4033203125,0.04274008357632458,-1.3992071e-05
38,72.33935546875,0.04276617768696728,-2.0549072e-05
39,72.669921875,0.042715216745559934,-1.2254505e-05
40,72.55078125,0.04268095670542438,-5.129486e-06
41,72.12744140625,0.042916463282406406,-1.1215464e-05
42,72.64453125,0.042749508492460994,-6.740028e-06
43,72.49365234375,0.04275810138294263,-4.460365e-06
44,72.79931640625,0.04253037920331378,3.1949653e-06
45,72.3837890625,0.04268686299854008,2.7443468e-07
46,72.38134765625,0.0427980070626295,-2.7751059e-05
47,72.4482421875,0.04280400909301435,7.2240084e-07
48,72.49560546875,0.04268048253561652,-9.8956225e-06
49,72.13427734375,0.042812401691489275,-5.018979e-06
50,72.48583984375,0.04277708647072864,-9.528712e-06
51,72.50390625,0.04274847981703639,-3.7947295e-06
52,73.0908203125,0.04246296099778705,-1.9783645e-05
53,72.54248046875,0.04272483038552253,-4.777536e-07
54,72.44775390625,0.04275997520392352,-1.0661841e-05
55,72.30224609375,0.04276696237710396,-1.1558652e-05
56,72.8837890625,0.04258081227821878,-1.1712864e-05
57,72.6015625,0.042700971638314,-2.6251166e-05
58,72.60791015625,0.042701132485377595,3.5922238e-07
59,72.22216796875,0.042863225875821385,-2.4573834e-05
60,72.71435546875,0.04266657256422817,-1.3130249e-05
61,72.89404296875,0.042483985387350154,-3.4445125e-05
62,72.599609375,0.04268885136249784,-7.5698495e-06
63,73.0166015625,0.042547408068760936,-3.2749026e-06
64,72.3974609375,0.042723750018008114,-1.5516418e-05
65,72.3017578125,0.042827641287258036,-1.800865e-06
66,72.95458984375,0.04255379429514995,-6.3336493e-06
67,72.498046875,0.04274426855247182,-9.52693e-06
68,72.47802734375,0.04275413450478933,-1.6613006e-06
69,72.63623046875,0.04269250470008273,-9.06045e-06
70,72.7880859375,0.04263305342938989,-5.006224e-06
71,72.48828125,0.0427723393718759,6.203353e-07
72,72.2783203125,0.04280841990214477,-1.1804522e-05
73,72.25390625,0.04284311885141027,-1.06678835e-05
74,72.7646484375,0.04270612381697652,-1.7018707e-05
75,72.7392578125,0.04269869335210605,-4.6893356e-06
76,72.74755859375,0.04268626066883273,-1.4058053e-06
77,72.33837890625,0.04287365614330911,-3.2331573e-06
