cur_batch,avg_ep_rewards,avg_ep_error,avg_actor_loss,timestamp
0,84.81982421875,0.8439465951524807,2.4139882e-07,1684068916.587832
1,84.827880859375,0.8440267577145524,-1.2002886e-07,1684069311.366883
2,84.94189453125,0.8451611794262925,1.013279e-08,1684069536.915126
3,84.807861328125,0.8438275658936473,2.9802323e-09,1684069764.22139
4,84.551025390625,0.8412720805815472,7.152557e-09,1684069989.0973241
5,84.790283203125,0.8436526657582183,-1.7881393e-09,1684070214.083173
6,84.92822265625,0.8450251459876257,4.7683715e-09,1684070439.535724
7,84.81787109375,0.8439271618040998,-2.3841857e-09,1684070665.680553
8,84.900390625,0.8447482207731966,3.5762786e-09,1684070886.5397341
9,84.66455078125,0.8424016439561921,-1.1324882e-08,1684071109.681644
10,84.64453125,0.8422024521352871,-2.6822091e-09,1684071332.870825
11,84.723388671875,0.8429870735761695,-3.1292438e-09,1684071672.007475
12,84.658447265625,0.8423409147425016,-9.834767e-09,1684071902.8553028
13,84.58447265625,0.8416048766725717,-2.3841857e-09,1684072148.392399
14,84.781005859375,0.8435603573534087,-1.5199184e-08,1684072390.4009988
15,84.599853515625,0.8417579142910719,2.9802322e-10,1684072623.905061
16,84.769287109375,0.8434437572631227,-1.2516975e-08,1684072905.556892
17,84.984130859375,0.8455814255850315,1.1920929e-09,1684073175.478556
18,84.695556640625,0.8427101483617403,-7.450581e-09,1684073436.731242
19,84.77197265625,0.8434704781171466,-3.5762786e-09,1684073703.73119
20,84.7197265625,0.8429506360479551,-1.3113022e-08,1684073967.572543
