cur_batch,avg_ep_rewards,avg_ep_error,avg_actor_loss,timestamp
0,37.24267578125,0.046072878510117016,-0.0002397983,1683626956.511698
1,38.0263671875,0.04616680278745277,-0.00040799542,1683627063.5899541
2,39.096435546875,0.046460357128561586,-0.00044256897,1683627133.148879
3,40.34912109375,0.04667048999043835,-0.0006429112,1683627200.5574138
4,41.963623046875,0.04683310876635641,-0.0007006631,1683627268.722236
5,43.892578125,0.04710826185745308,-0.0006998472,1683627346.981235
6,47.004638671875,0.04717278114824504,-0.00093621446,1683627455.150629
7,50.763916015625,0.04713443593747023,-0.0010942081,1683627560.6449752
8,54.828857421875,0.046840883552726156,-0.0007192767,1683627667.7022378
