cur_epoch,network_rewards_each_epoch,network_error_each_epoch
1,51.16552734375,0.22790965700250138
2,63.657958984375,0.20456767186124208
3,62.559814453125,0.20848199164468875
4,61.32421875,0.20768166883767866
5,62.31982421875,0.20381005459263288
6,61.636474609375,0.1999602204777179
7,62.71435546875,0.20307860151145873
8,63.3232421875,0.20590306020749802
9,60.921875,0.20863141352061795
10,60.659912109375,0.20790079543777246
11,59.90234375,0.20939082434623185
12,60.40625,0.21325568300927972
13,59.70361328125,0.2039143098902149
14,59.5087890625,0.2025475265505619
15,59.1650390625,0.2014733336994744
16,58.7060546875,0.2012145491355328
17,58.71875,0.19824699809434182
18,58.56396484375,0.2022187839359675
19,58.863525390625,0.19921736035230458
20,58.679931640625,0.20212446288142727
21,59.021240234375,0.19540146168848696
22,58.745361328125,0.2010716178270411
23,58.8828125,0.1992549115440745
24,58.96630859375,0.20247036284127093
25,58.70556640625,0.19860969837867615
26,58.907958984375,0.19954285538410838
27,58.934814453125,0.20233257888223813
28,58.66845703125,0.19967028211536
29,59.15234375,0.20476208812943963
30,59.169677734375,0.20895286735739133
31,59.9892578125,0.20382416448166746
32,60.6787109375,0.2097219387707499
33,61.36474609375,0.21161276065855225
34,64.227783203125,0.20237188523204708
35,63.982177734375,0.2068817317038268
36,64.14501953125,0.21012068357442865
37,64.338623046875,0.21087579599404155
38,64.896728515625,0.206140482777655
39,64.225830078125,0.21030587286203742
40,64.5029296875,0.2098422352563251
41,65.246337890625,0.20551369252675905
42,64.625732421875,0.21272722995101426
43,65.749755859375,0.2057849872333543
44,65.60791015625,0.2110914874447516
45,65.801025390625,0.20711772274393508
46,64.287841796875,0.2124662645322632
47,65.294677734375,0.2127787898548786
48,66.3056640625,0.20945434612553515
49,65.52978515625,0.20977268970192373
50,65.09130859375,0.21406996367118158
51,65.225830078125,0.21492087726614276
52,65.7451171875,0.20976779337691065
53,65.203857421875,0.2177582163674038
54,64.36572265625,0.21163882439058776
55,63.80224609375,0.20822802701913698
56,61.332275390625,0.20778773643450588
57,61.95556640625,0.20477998596358057
58,63.4384765625,0.20979430162043092
59,64.771240234375,0.20881840928373063
60,64.76171875,0.208983153936794
61,65.36279296875,0.20746709034786945
62,65.5908203125,0.20771994786252854
63,64.78466796875,0.21435826010287765
64,65.61083984375,0.21201777982701758
65,64.778076171875,0.2110176317444006
66,64.616943359375,0.20647282905222214
67,64.882568359375,0.20063941122163667
68,64.369384765625,0.19741696447849563
69,63.764404296875,0.19740270254280248
70,63.8916015625,0.19670673492646126
71,63.515380859375,0.19581433195654652
72,64.0927734375,0.19380502628421056
73,64.58349609375,0.19147372622565206
74,64.508056640625,0.19302551023649955
75,64.259765625,0.19461784570621024
76,64.294921875,0.20216490959467343
77,60.3974609375,0.2068326369635515
78,60.644287109375,0.2111849888979903
79,60.681640625,0.20938426600421048
80,62.208984375,0.20919804701745415
81,64.126220703125,0.20921494699095505
82,63.7861328125,0.20832287239345204
83,64.204833984375,0.20671938230559242
84,63.978271484375,0.19959732678657696
85,64.151123046875,0.1973987477389505
86,64.490478515625,0.19759373768143376
87,64.37451171875,0.1938644900027166
