cur_epoch,network_rewards_each_epoch,network_error_each_epoch
1,42.581787109375,0.20440630654311923
2,45.087646484375,0.21049021663267797
3,59.179931640625,0.203445825359679
4,59.57080078125,0.20789566495154632
5,59.96240234375,0.2089478947482487
6,60.0947265625,0.20225621485470544
7,59.52587890625,0.20581029445659865
8,60.05810546875,0.20969564608207567
9,59.649658203125,0.2080493952807984
10,60.078125,0.20960421754546807
11,59.623046875,0.20699640871571728
12,59.470703125,0.20319049723736993
13,59.9677734375,0.20827953462312856
14,59.86083984375,0.20673632631539826
15,59.95068359375,0.20345573467885356
16,60.04638671875,0.20422697990830374
17,60.04345703125,0.20445786395186422
18,60.240478515625,0.2050200067419392
19,60.356689453125,0.20402677002810002
20,60.031494140625,0.2006121412737421
