cur_epoch,network_rewards_each_epoch,network_error_each_epoch
1,50.854248046875,0.2985373670525701
2,61.969482421875,0.23935908268413633
3,66.547607421875,0.1998768899255591
4,67.71484375,0.1952027489339384
5,69.091552734375,0.1759823251345267
6,69.02587890625,0.18507232322567377
7,69.200927734375,0.18003904311193614
8,69.103759765625,0.1794337100967107
9,69.208984375,0.18111896207323733
10,69.664306640625,0.17979418392706192
11,70.12890625,0.18204673365609653
12,70.184814453125,0.17726746241010818
13,70.55517578125,0.17821622324137412
14,70.3740234375,0.17828535192147948
1,50.341552734375,0.2952974636271044
2,52.5556640625,0.2968980186567004
