cur_epoch,network_rewards_each_epoch,network_error_each_epoch
1,38.63671875,0.4525130348804521
2,44.4912109375,0.4391882023710723
3,46.5234375,0.48427008446285214
4,48.9560546875,0.5188948302360625
5,51.060546875,0.5371965892382297
6,53.5,0.5302365678365589
1,38.63671875,0.4525130348804521
2,44.4912109375,0.4391882023710723
3,46.5234375,0.48427008446285214
4,48.9560546875,0.5188948302360625
5,51.060546875,0.5371965892382297
6,53.5,0.5302365678365589
7,55.173828125,0.49934254202436085
8,55.7744140625,0.5105179673791087
9,56.96875,0.49667684574491805
10,58.65234375,0.48127020694370504
11,58.8173828125,0.4656686345959062
12,59.1943359375,0.4686770849340527
13,58.6025390625,0.4567319580824723
14,59.3271484375,0.45017455771013204
15,59.6064453125,0.41963834616572154
16,59.572265625,0.43305306187448955
17,59.646484375,0.42911008271625456
18,59.591796875,0.4545280791546114
19,65.447265625,0.4103365864987268
20,68.818359375,0.3837856020783559
21,69.7392578125,0.36858654192845813
22,71.583984375,0.3527524043700115
23,72.1884765625,0.34579500900789994
24,73.6962890625,0.31992006540077783
25,73.3125,0.33277432934717327
26,73.453125,0.3189007421351518
27,73.998046875,0.3069607891641537
28,74.150390625,0.3140143359910849
29,73.728515625,0.2989884924823137
30,73.9697265625,0.30073695506875325
31,74.4443359375,0.30814040812632765
32,74.017578125,0.3048653633652176
33,74.0732421875,0.29039150716921125
34,73.4375,0.3204404993871108
35,74.1630859375,0.30605812235148117
36,74.3134765625,0.30442818433297636
37,73.8935546875,0.32138759035672115
38,74.50390625,0.30727129669347636
39,74.4287109375,0.3073656522120425
40,74.58984375,0.31962956918845237
41,74.0810546875,0.325408257250565
42,74.7880859375,0.2936824228163876
43,74.18359375,0.3026579483528125
44,74.53125,0.3130320787657805
45,74.6103515625,0.3144069172690306
46,74.150390625,0.31488476029420537
47,74.357421875,0.30541776904865203
48,74.576171875,0.30287934185596826
49,74.51171875,0.29222865401336556
50,74.0966796875,0.3165952197668555
51,74.8779296875,0.3010122090568347
52,74.6318359375,0.29681749633972443
53,74.8212890625,0.3031724022026769
54,74.662109375,0.3047142445001641
55,74.50390625,0.32403041930951687
56,74.498046875,0.31391889197307055
57,74.4873046875,0.30919553381144727
58,74.646484375,0.3029076295811603
59,74.728515625,0.3076071540770559
60,74.13671875,0.3194641182664559
61,74.5966796875,0.31454777773892006
62,74.45703125,0.31854820502144754
63,74.322265625,0.3121391537607731
64,74.5439453125,0.31302144980277335
65,74.8212890625,0.29444662384756987
66,74.5107421875,0.31597778219864064
67,74.3603515625,0.2988664674158163
68,74.3466796875,0.31107452089581594
69,75.0693359375,0.2972154406395494
70,75.03515625,0.3157767875088047
71,75.2197265625,0.31252374409831085
72,74.236328125,0.3205964237346683
73,74.87890625,0.3075334465243789
74,74.7685546875,0.3093563613069496
75,75.416015625,0.3071483551320249
76,75.166015625,0.31252712489662127
77,75.1025390625,0.31014467831556053
78,75.3564453125,0.29568870432422384
79,75.2021484375,0.2994898516020427
80,75.0,0.29649248074393947
81,74.6640625,0.3190871269742443
82,74.5224609375,0.3063566736749221
83,74.8916015625,0.3087991426307715
84,74.306640625,0.30089492012354074
85,74.6962890625,0.3051199884912448
86,74.8681640625,0.3186456279765928
87,75.544921875,0.3099319740132793
88,75.255859375,0.31358905211856136
89,74.7490234375,0.31705436584433405
90,75.0341796875,0.29599318388059526
91,74.7431640625,0.3121571791280166
92,75.1552734375,0.29690119822251276
93,75.330078125,0.31274775578168573
94,75.34765625,0.3147899411320599
95,75.6962890625,0.3138620006438919
96,75.591796875,0.3091053584789033
97,74.45703125,0.32322022055120164
98,75.1826171875,0.2997790008749049
99,75.09375,0.29895096790841624
100,75.0078125,0.3034328156256014
101,74.8994140625,0.2989216810765883
102,75.1640625,0.3077960750631988
103,75.6826171875,0.3054156878671124
104,75.0341796875,0.3101563172016023
105,74.9736328125,0.3205361501357849
106,75.3505859375,0.3070495439252982
107,74.806640625,0.3183379780418434
108,74.99609375,0.31932844800653243
109,75.779296875,0.29622880351816555
110,75.8701171875,0.29496669902335
111,75.4072265625,0.324687846771492
112,75.0537109375,0.3137670326905155
113,75.4775390625,0.30115433721032875
114,75.546875,0.30579624425803426
115,75.7099609375,0.2975373893746842
116,75.2509765625,0.31438715313794136
117,75.3564453125,0.3115691970533003
118,74.900390625,0.31618288774589326
119,75.466796875,0.29623966874042995
120,75.0341796875,0.3051813338728253
121,75.529296875,0.29642351226933583
122,75.2412109375,0.31538496940546346
123,76.11328125,0.29524645091967244
124,75.3115234375,0.31703199364653445
125,75.0966796875,0.3175006222319889
126,75.470703125,0.3126390088373366
127,76.236328125,0.2992663131540246
128,75.7880859375,0.2994418589186733
129,75.98046875,0.29682296999700875
130,75.693359375,0.3112458274649719
131,76.146484375,0.3078543036776527
132,75.90234375,0.3087980101397126
133,75.7705078125,0.29247202248071763
134,75.884765625,0.30347754412622546
135,75.390625,0.3054967062564985
136,76.302734375,0.30734603678323347
137,76.3408203125,0.3026493922285262
138,75.814453125,0.3178898385376388
139,75.1572265625,0.3021536872249893
140,75.9697265625,0.29624802330973243
141,75.5712890625,0.3050641137860791
142,76.404296875,0.2953332659065691
143,76.4736328125,0.30054222709952866
144,75.2998046875,0.30634029374716387
145,76.1455078125,0.31887019166859587
146,76.1708984375,0.30326172059506834
147,75.6083984375,0.3138520066198778
148,76.2197265625,0.29525404501693
149,76.44921875,0.30764874493234284
150,76.7451171875,0.30931370536172764
151,75.978515625,0.3001742927077021
152,75.8291015625,0.3107665127956297
153,76.197265625,0.2991919639988312
