cur_epoch,network_rewards_each_epoch,network_error_each_epoch
1,70.28428571428572,0.4389654515317623
2,70.78714285714285,0.43426993459517144
3,71.55714285714286,0.42658758529759067
4,71.93714285714286,0.4111984333670285
5,71.88571428571429,0.39765346708331606
6,72.13142857142857,0.4242446073675734
7,71.35,0.42089130401555974
8,71.33714285714285,0.40852755580058064
9,72.67142857142858,0.41566378822270555
10,71.82571428571428,0.4113857545747731
11,72.45142857142856,0.4106722924406097
12,71.67714285714285,0.42814034101389997
13,72.20428571428572,0.43348560492743043
14,71.04,0.430801057357579
15,72.02428571428571,0.41565926769670064
16,72.43714285714286,0.41751997211355363
17,71.99571428571429,0.41223875374285657
18,71.41428571428571,0.4398187408255145
19,71.79285714285714,0.4345228776432092
20,71.88142857142857,0.42185005211840754
21,73.04571428571428,0.4283678972490656
