cur_batch,avg_ep_rewards,avg_ep_error,avg_actor_loss
0,-5001.162813284641,2.8874828493867124,-2.4497847e-05
1,-5000.293482991945,2.886760960294827,-1.5399619e-05
2,-5000.61514288456,2.886511087688161,-3.6130555e-06
0,-5001.162813284641,2.8874828493867124,-3.351276e-05
1,-5000.36002292702,2.8869477882879147,-1.13090555e-05
0,48.877383406603705,0.04743787491199591,-5.1760195e-05
1,49.05237911173329,0.04772940751904028,-2.684996e-05
2,49.88155526021216,0.04754094178388348,-4.897417e-05
3,50.297121218794956,0.047411015627771516,-3.9893202e-05
4,49.75263140305411,0.04756915662835955,-1.6730271e-05
5,50.15087324969936,0.0476162718091543,-1.184903e-05
6,50.54485387029685,0.04763641338451414,-2.9114792e-05
7,50.666249399153514,0.04757261445486007,-2.2000719e-05
8,50.1994740175223,0.047638078627734975,-1.6527481e-05
9,51.18705607196968,0.047407283119280476,-3.419183e-05
10,50.720978259099645,0.0475729030915397,-8.573009e-06
11,50.05195890738256,0.04764144043436146,-5.0930586e-05
12,50.99828063922934,0.0474414230936118,-5.213815e-05
13,50.7492809621552,0.047599333068467205,-2.0395964e-05
14,50.83786664912105,0.04744652659938818,-1.8493034e-05
15,51.908957059886305,0.04754647553664103,-2.049832e-05
16,50.6005545080239,0.04749483652380967,-3.711188e-05
17,50.92391610143613,0.04758432959262599,-2.2729768e-05
18,52.07893807718717,0.04757200081072165,-4.0198243e-05
19,50.94181937647331,0.04733752215872373,-0.000103165396
20,51.524153759757986,0.047634599438058645,-2.5234298e-05
21,51.4282323828917,0.04768286159790373,-5.0834933e-05
22,51.89252539681829,0.04768844877954905,-0.00012422295
23,51.6329143594224,0.04754287718665523,-4.723532e-05
24,53.19402306247968,0.047608932347892804,-1.3276595e-05
25,52.76144618572761,0.04770784873610874,-5.267285e-05
26,52.09531666387897,0.0477586235091965,-5.1459945e-05
27,53.58964737588726,0.047679837399828555,-0.00011394053
28,53.78758172394894,0.047377529941558236,-8.548812e-05
29,54.450951914012435,0.04737374684294613,-0.00010916304
30,54.29236812364496,0.047271894811459714,-0.00018893849
31,54.325205354847945,0.04757895376848396,-8.449987e-05
32,55.7003847449664,0.04719467073754122,-8.885163e-05
33,57.109987367336636,0.04703869383144329,-0.000154495
34,56.100636220706626,0.04729110851921507,-0.00020650956
35,55.3598915776331,0.04741711888681549,-8.4621934e-05
36,57.70888375352323,0.04713203269985941,-8.1429185e-05
37,57.94667120380886,0.04723291151838397,-3.201744e-05
38,57.27460326242168,0.04730411729946364,-6.323413e-05
39,57.05906566864532,0.04730219197631362,-5.873831e-05
40,57.63997903564107,0.047074384397871184,-0.0001199961
41,58.3981545983376,0.04691877484402289,-0.00019226564
42,59.28482920532767,0.0467695515564503,-9.026557e-05
43,59.36593271563109,0.04697721048878408,-7.517026e-05
44,59.33876273832191,0.0470124554289614,-2.3223236e-05
45,59.89142040502839,0.046997304817697844,-2.8036233e-05
46,59.90694193561096,0.04685400014242573,-1.9296644e-05
47,59.74172912961058,0.04688301110874214,-3.4560617e-05
48,59.342155653554016,0.04676672198853983,-1.4630151e-05
49,59.90307945492118,0.04673551311904562,-7.892647e-05
50,60.44299727389217,0.04663526340004444,-2.1220178e-05
51,60.14958482832182,0.04687589004175635,-3.6490157e-05
52,61.39607690589502,0.046706232702473885,-6.0887116e-05
53,60.693757207562214,0.046756546420804235,-1.9817015e-05
54,61.71734792255703,0.046519634037628176,-1.722206e-05
55,61.4579021979114,0.04644101217252573,-3.1061576e-05
56,61.646528553877026,0.046337892652966305,-3.7244543e-05
57,61.27453648783359,0.046478635347561185,7.100898e-06
58,61.13436752698105,0.046622770125576266,-2.382405e-05
59,62.06494882055372,0.046547925609130965,-8.1458646e-05
60,61.05507828434091,0.04655438025429342,1.5518035e-06
61,61.10166089681443,0.04656814800271512,-2.024817e-05
62,62.23630688232463,0.0462136100616129,-4.4955443e-05
63,61.28844708967116,0.046394726815389135,-2.878851e-05
64,62.61400769742485,0.04631834803855567,-5.322678e-05
65,62.941391169533134,0.04622646507100224,-5.453663e-05
66,62.33588114475738,0.046244173671147505,-1.705481e-05
67,62.28196473327838,0.04624619074666745,-4.1232757e-05
68,62.334076182786376,0.04630153706608316,-1.5803598e-05
69,63.28172101272363,0.04609998368928426,-2.6169675e-05
70,62.9186260237759,0.04618728540614295,-3.119712e-05
71,64.0252715056995,0.04591028257603865,-1.689253e-05
72,61.76963219605107,0.046410750655908405,-3.0515152e-05
73,62.24427240836714,0.046236994628690374,-5.557757e-05
74,63.70950149826426,0.046023381013103236,7.112126e-06
75,63.47389997236524,0.04613444225040635,-8.525339e-06
76,63.06600006664358,0.04609140302353497,-8.600097e-06
77,64.10839242696017,0.045836532549160716,-1.4072502e-05
78,62.986393662741406,0.04596818961658085,-3.9711973e-05
79,63.25798852468002,0.045913093651923004,-5.185778e-05
80,63.355114631950855,0.046062918341023947,2.2415238e-06
81,63.464454987501725,0.04595635830936473,-1.1901337e-05
82,63.758338878328914,0.045879348466621304,-1.4301576e-05
