cur_batch,avg_ep_rewards,avg_ep_error,avg_actor_loss
0,66.52263332660962,0.04524193342292986,-6.972319e-05
1,66.89532355363481,0.045039593165160395,-2.2896826e-05
2,65.83511533752457,0.04529477412991122,4.783918e-06
3,66.68195687428769,0.0451597042891551,-6.1052316e-07
4,66.57791552706621,0.04514996405298308,-2.2253556e-05
5,65.72989331065584,0.045442714917170654,1.178383e-06
6,66.12758722377382,0.0453614692076511,-1.100245e-05
7,66.04961673625745,0.045196187985221424,-1.5378917e-05
8,66.66514684345853,0.045138593010040265,-5.2063104e-05
9,66.43802441936545,0.04502816218126628,-8.951183e-06
10,66.32170785920135,0.045101090724661445,-2.3616501e-05
11,66.57251803086419,0.045195133083983756,-1.6854781e-06
12,66.37297503432632,0.04525842458497583,-3.215927e-05
13,66.54074080689344,0.04519511909549117,-9.009011e-06
14,66.78275920444541,0.04504296337116325,-6.5882676e-05
15,66.69963870041538,0.045109508905712914,2.1948897e-05
16,66.4687995370226,0.04507095868104371,-1.1538543e-06
17,66.72087863087654,0.045092738702841584,-3.1051593e-05
18,66.51374527865462,0.04504900192326417,-0.00010906103
19,67.4610037662331,0.04486029801753984,-2.6683701e-05
20,67.64564866543189,0.04482528482181875,-5.790207e-06
21,66.58473705495429,0.04509937528791198,-5.635703e-05
22,66.71177906227204,0.04517586259628096,4.062607e-06
23,66.34073285048642,0.045245156988887675,-2.624989e-05
24,66.71219178308174,0.04524676886479087,-3.5974073e-05
25,67.00130988121406,0.044902357997059925,-3.852179e-05
26,67.12533972591069,0.045191678658610644,1.4321442e-05
27,66.71022103496641,0.04515026716783279,1.1030196e-06
28,66.38016622493137,0.045303732024839304,-1.9183408e-05
29,66.04693434328027,0.04535960624321308,-1.0066376e-05
30,66.87085245680157,0.045190790711006984,-5.1166307e-06
31,68.08161467789859,0.04470267249772496,-2.6876723e-05
32,66.84153611896095,0.045163600239320374,6.356171e-06
33,67.68250254003611,0.044711990132687875,-5.5725814e-05
34,67.7313634449197,0.04470805017635699,-1.5958296e-05
35,66.96848245589062,0.04502456434762414,-1.6759384e-05
36,67.54547222758364,0.04472373475440364,-5.714874e-06
37,67.52047811960615,0.045125476758983846,-1.1673869e-05
38,67.57752246916853,0.0450289003422481,-3.0169067e-06
39,67.48449686774704,0.04510261610079065,-3.5090409e-06
40,67.68157311977725,0.04494482329198692,-6.7830356e-06
41,66.63642226426956,0.045123939273836663,3.902828e-06
42,67.25538290886767,0.04506388038398533,-3.7120648e-05
43,67.25153370960523,0.04494734298704979,1.2029133e-05
44,67.58050514884852,0.04481887242769257,-4.251705e-06
45,67.34350543084462,0.04497871004785427,-7.792387e-05
46,67.32146438425407,0.04510407711393102,-9.459334e-05
47,67.0364699909389,0.04510733773037677,-6.561511e-05
48,67.015409410174,0.045119426676015824,-6.726959e-06
49,67.9001929490855,0.04493314033308537,-2.0067733e-05
50,67.49435114336572,0.04491218955086461,-8.5796355e-06
51,67.71119909376837,0.04489235422648172,-2.5679834e-05
52,66.82712397875916,0.045179581519153904,-4.975875e-05
53,66.57862781715951,0.04525001679285665,1.443466e-06
54,67.40375583931245,0.045050297340727394,-2.2203852e-05
55,67.80863035498187,0.04479546842311352,-7.4849777e-06
56,67.82680131682102,0.04480119738805065,-3.197503e-05
57,67.11265334104095,0.04498584720746334,-1.9847128e-05
58,67.04699409132544,0.04508517423819622,-1.1396332e-05
59,67.98891460528783,0.04485560899568314,-8.389977e-06
60,67.22681097701285,0.04497686779968289,-7.855369e-06
61,67.6422083044285,0.044752239318638545,3.0555852e-06
62,67.43686864119675,0.045140225940996585,-2.2953345e-05
63,67.7890139350202,0.04476906082050977,-2.3304672e-06
