cur_batch,avg_ep_rewards,avg_ep_error,avg_actor_loss,timestamp
0,47.755859375,0.047466471939936576,-3.077723e-05,1683192694.185842
1,47.111328125,0.04716678204094345,-2.2603808e-05,1683192862.582861
2,47.900390625,0.04737931971263745,-2.0710828e-05,1683192910.492722
3,48.3681640625,0.04722512540439833,-0.00010352566,1683192954.713065
4,48.4931640625,0.047298759700923995,-1.2346968e-05,1683192996.247194
5,48.591796875,0.04714886180716278,-2.1853162e-05,1683193041.190468
6,48.306640625,0.04732605942539465,-1.3318063e-05,1683193085.717126
7,48.5224609375,0.04734294070924151,-1.1324061e-05,1683193128.7412622
8,49.5048828125,0.04715765655520932,-3.0557363e-05,1683193168.641697
9,49.361328125,0.047072649126008365,-1.7199383e-05,1683193206.139169
10,49.544921875,0.04718975365146848,-2.1051615e-05,1683193245.049471
11,49.951171875,0.04727068301324312,-1.61729e-05,1683193285.493108
12,49.78515625,0.046994825521062426,-2.2415416e-05,1683193329.6554859
13,48.634765625,0.04708777344941003,-2.5711075e-05,1683193372.271471
14,49.19921875,0.0471884565408166,-3.653996e-05,1683193417.983447
15,49.48828125,0.04715483569983375,-2.7647897e-05,1683193466.8129358
16,48.7998046875,0.047290380021238275,-3.5804762e-05,1683193522.303015
17,49.5556640625,0.047369880819550556,-5.7713285e-05,1683193572.6516821
18,49.259765625,0.04755258342773544,-2.268116e-05,1683193619.463247
19,49.126953125,0.047320541842878025,-8.5089805e-06,1683193666.085537
20,49.6455078125,0.047491826218223065,-2.3281262e-05,1683193709.268888
21,49.7666015625,0.04741175951947402,-9.815177e-05,1683193860.7365088
22,48.5693359375,0.04730858434124823,-9.353667e-06,1683193902.687861
23,49.591796875,0.04747812268159229,-1.4354623e-05,1683193944.609151
24,49.1416015625,0.047230440331597234,-3.4586446e-05,1683193985.94335
25,48.5439453125,0.04737538790498014,-2.2704482e-05,1683194029.5582888
26,49.279296875,0.04735908631248372,-7.6038386e-06,1683194073.4478002
27,49.0087890625,0.04729096462147535,-2.598837e-05,1683194113.3728151
28,49.546875,0.04729373290789043,-8.435786e-06,1683194153.759996
29,50.0595703125,0.04728278921651573,-1.1402533e-05,1683194194.32238
30,49.546875,0.04739105189161846,-6.880403e-06,1683194238.3220701
31,50.0615234375,0.047256546341357175,-6.511777e-06,1683194279.634241
32,49.443359375,0.04730707520667418,-2.6323414e-05,1683194324.2524319
33,50.216796875,0.047219132573203135,-1.645583e-05,1683194365.7023911
34,48.9892578125,0.047104623070012216,-3.7413533e-06,1683194411.097131
35,50.125,0.04733695757040596,-1.0283708e-05,1683194460.477826
36,49.1806640625,0.04711752784706291,-6.2745808e-06,1683194863.6794932
37,49.2568359375,0.04719251487568029,-8.931607e-06,1683194905.27118
38,49.71484375,0.047217720877714066,-1.766088e-05,1683194950.35283
39,50.154296875,0.0470296080145923,-8.524358e-06,1683194992.493952
40,50.21484375,0.04692789951357283,-7.5696707e-06,1683195035.573689
41,50.255859375,0.04721924296422954,-3.01975e-05,1683195183.013878
42,49.6953125,0.04707887919415923,-9.3088e-06,1683195224.71105
43,50.51171875,0.04687965048384629,-2.8391823e-05,1683195269.967707
44,49.330078125,0.04715557212762518,-1.2251645e-05,1683195317.642224
45,50.6943359375,0.04703291858473291,-5.6016142e-06,1683195360.8422809
46,49.9208984375,0.046884706119246715,-1.5397552e-05,1683195403.3547788
47,49.9326171875,0.04703170032564007,-1.0308266e-05,1683195505.522393
48,50.0673828125,0.047134117313157906,-1.7054812e-05,1683195548.415978
49,50.7646484375,0.047190956877046455,-6.725594e-06,1683195596.458821
50,49.7861328125,0.04699315986081265,-8.695602e-06,1683195646.538334
51,49.462890625,0.04690329731204046,-1.710403e-05,1683195691.15421
52,49.849609375,0.04695254981956161,-1.8243969e-05,1683195735.4789581
